Aikaleima;Yö (kWh);Päivä (kWh)
1.1.2021 0:00;0.07;0.0
1.1.2021 1:00;0.08;0.0
1.1.2021 2:00;0.04;0.0
1.1.2021 3:00;0.08;0.0
1.1.2021 4:00;0.07;0.0
1.1.2021 5:00;0.03;0.0
1.1.2021 6:00;0.09;0.0
1.1.2021 7:00;0.0;0.07
1.1.2021 8:00;0.0;0.04
1.1.2021 9:00;0.0;0.08
1.1.2021 10:00;0.0;0.06
1.1.2021 11:00;0.0;0.05
1.1.2021 12:00;0.0;0.08
1.1.2021 13:00;0.0;0.06
1.1.2021 14:00;0.0;0.06
1.1.2021 15:00;0.0;0.08
1.1.2021 16:00;0.0;0.04
1.1.2021 17:00;0.0;0.07
1.1.2021 18:00;0.0;0.15
1.1.2021 19:00;0.0;0.05
1.1.2021 20:00;0.0;0.13
1.1.2021 21:00;0.0;0.27
1.1.2021 22:00;0.26;0.0
1.1.2021 23:00;0.11;0.0
2.1.2021 0:00;0.09;0.0
2.1.2021 1:00;0.09;0.0
2.1.2021 2:00;0.09;0.0
2.1.2021 3:00;0.07;0.0
2.1.2021 4:00;0.11;0.0
2.1.2021 5:00;0.04;0.0
2.1.2021 6:00;0.1;0.0
2.1.2021 7:00;0.0;0.08
2.1.2021 8:00;0.0;0.12
2.1.2021 9:00;0.0;0.29
2.1.2021 10:00;0.0;0.15
2.1.2021 11:00;0.0;0.08
2.1.2021 12:00;0.0;0.08
2.1.2021 13:00;0.0;0.05
2.1.2021 14:00;0.0;0.09
2.1.2021 15:00;0.0;0.08
2.1.2021 16:00;0.0;0.06
2.1.2021 17:00;0.0;0.09
2.1.2021 18:00;0.0;0.05
2.1.2021 19:00;0.0;0.57
2.1.2021 20:00;0.0;0.47
2.1.2021 21:00;0.0;0.5
2.1.2021 22:00;0.18;0.0
2.1.2021 23:00;0.09;0.0
3.1.2021 0:00;0.05;0.0
3.1.2021 1:00;0.08;0.0
3.1.2021 2:00;0.08;0.0
3.1.2021 3:00;0.06;0.0
3.1.2021 4:00;0.07;0.0
3.1.2021 5:00;0.09;0.0
3.1.2021 6:00;0.05;0.0
3.1.2021 7:00;0.0;0.07
3.1.2021 8:00;0.0;0.13
3.1.2021 9:00;0.0;0.21
3.1.2021 10:00;0.0;0.15
3.1.2021 11:00;0.0;0.09
3.1.2021 12:00;0.0;0.12
3.1.2021 13:00;0.0;0.26
3.1.2021 14:00;0.0;0.38
3.1.2021 15:00;0.0;1.66
3.1.2021 16:00;0.0;0.83
3.1.2021 17:00;0.0;0.33
3.1.2021 18:00;0.0;0.76
3.1.2021 19:00;0.0;0.24
3.1.2021 20:00;0.0;0.25
3.1.2021 21:00;0.0;0.19
3.1.2021 22:00;0.15;0.0
3.1.2021 23:00;0.07;0.0
4.1.2021 0:00;0.1;0.0
4.1.2021 1:00;0.09;0.0
4.1.2021 2:00;0.07;0.0
4.1.2021 3:00;0.09;0.0
4.1.2021 4:00;0.09;0.0
4.1.2021 5:00;0.05;0.0
4.1.2021 6:00;0.09;0.0
4.1.2021 7:00;0.0;0.25
4.1.2021 8:00;0.0;0.29
4.1.2021 9:00;0.0;0.27
4.1.2021 10:00;0.0;0.28
4.1.2021 11:00;0.0;0.29
4.1.2021 12:00;0.0;0.25
4.1.2021 13:00;0.0;0.26
4.1.2021 14:00;0.0;0.27
4.1.2021 15:00;0.0;0.2
4.1.2021 16:00;0.0;0.26
4.1.2021 17:00;0.0;0.55
4.1.2021 18:00;0.0;0.12
4.1.2021 19:00;0.0;0.09
4.1.2021 20:00;0.0;0.17
4.1.2021 21:00;0.0;0.69
4.1.2021 22:00;0.19;0.0
4.1.2021 23:00;0.06;0.0
5.1.2021 0:00;0.1;0.0
5.1.2021 1:00;0.07;0.0
5.1.2021 2:00;0.07;0.0
5.1.2021 3:00;0.09;0.0
5.1.2021 4:00;0.05;0.0
5.1.2021 5:00;0.08;0.0
5.1.2021 6:00;0.1;0.0
5.1.2021 7:00;0.0;0.19
5.1.2021 8:00;0.0;0.27
5.1.2021 9:00;0.0;0.28
5.1.2021 10:00;0.0;0.23
5.1.2021 11:00;0.0;0.26
5.1.2021 12:00;0.0;0.19
5.1.2021 13:00;0.0;0.21
5.1.2021 14:00;0.0;0.28
5.1.2021 15:00;0.0;0.27
5.1.2021 16:00;0.0;0.25
5.1.2021 17:00;0.0;0.23
5.1.2021 18:00;0.0;0.34
5.1.2021 19:00;0.0;0.13
5.1.2021 20:00;0.0;0.13
5.1.2021 21:00;0.0;0.19
5.1.2021 22:00;0.22;0.0
5.1.2021 23:00;0.05;0.0
6.1.2021 0:00;0.08;0.0
6.1.2021 1:00;0.09;0.0
6.1.2021 2:00;0.04;0.0
6.1.2021 3:00;0.09;0.0
6.1.2021 4:00;0.07;0.0
6.1.2021 5:00;0.07;0.0
6.1.2021 6:00;0.09;0.0
6.1.2021 7:00;0.0;0.04
6.1.2021 8:00;0.0;0.24
6.1.2021 9:00;0.0;0.23
6.1.2021 10:00;0.0;0.25
6.1.2021 11:00;0.0;0.31
