Aikaleima;Yö (kWh);Päivä (kWh)
1.1.2021 0:00;3.49;0.0
1.1.2021 1:00;2.03;0.0
1.1.2021 2:00;2.76;0.0
1.1.2021 3:00;2.82;0.0
1.1.2021 4:00;2.97;0.0
1.1.2021 5:00;2.94;0.0
1.1.2021 6:00;2.94;0.0
1.1.2021 7:00;0.0;2.91
1.1.2021 8:00;0.0;2.53
1.1.2021 9:00;0.0;2.2
1.1.2021 10:00;0.0;2.17
1.1.2021 11:00;0.0;2.2
1.1.2021 12:00;0.0;2.33
1.1.2021 13:00;0.0;2.53
1.1.2021 14:00;0.0;2.67
1.1.2021 15:00;0.0;3.3
1.1.2021 16:00;0.0;3.6
1.1.2021 17:00;0.0;3.7
1.1.2021 18:00;0.0;4.43
1.1.2021 19:00;0.0;3.51
1.1.2021 20:00;0.0;2.83
1.1.2021 21:00;0.0;2.52
1.1.2021 22:00;3.93;0.0
1.1.2021 23:00;3.69;0.0
2.1.2021 0:00;3.94;0.0
2.1.2021 1:00;2.31;0.0
2.1.2021 2:00;2.48;0.0
2.1.2021 3:00;2.75;0.0
2.1.2021 4:00;2.36;0.0
2.1.2021 5:00;2.79;0.0
2.1.2021 6:00;2.35;0.0
2.1.2021 7:00;0.0;2.75
2.1.2021 8:00;0.0;2.17
2.1.2021 9:00;0.0;1.9
2.1.2021 10:00;0.0;1.93
2.1.2021 11:00;0.0;2.23
2.1.2021 12:00;0.0;2.5
2.1.2021 13:00;0.0;3.64
2.1.2021 14:00;0.0;2.77
2.1.2021 15:00;0.0;2.58
2.1.2021 16:00;0.0;3.38
2.1.2021 17:00;0.0;3.5
2.1.2021 18:00;0.0;3.0
2.1.2021 19:00;0.0;3.69
2.1.2021 20:00;0.0;4.58
2.1.2021 21:00;0.0;2.68
2.1.2021 22:00;4.32;0.0
2.1.2021 23:00;4.1;0.0
3.1.2021 0:00;4.03;0.0
3.1.2021 1:00;3.19;0.0
3.1.2021 2:00;2.62;0.0
3.1.2021 3:00;2.9;0.0
3.1.2021 4:00;2.42;0.0
3.1.2021 5:00;2.88;0.0
3.1.2021 6:00;2.48;0.0
3.1.2021 7:00;0.0;2.83
3.1.2021 8:00;0.0;1.88
3.1.2021 9:00;0.0;2.32
3.1.2021 10:00;0.0;1.92
3.1.2021 11:00;0.0;1.91
3.1.2021 12:00;0.0;2.65
3.1.2021 13:00;0.0;2.8
3.1.2021 14:00;0.0;3.17
3.1.2021 15:00;0.0;3.88
3.1.2021 16:00;0.0;3.4
3.1.2021 17:00;0.0;2.67
3.1.2021 18:00;0.0;2.99
3.1.2021 19:00;0.0;2.3
3.1.2021 20:00;0.0;2.53
3.1.2021 21:00;0.0;2.1
3.1.2021 22:00;3.97;0.0
3.1.2021 23:00;3.45;0.0
4.1.2021 0:00;2.31;0.0
4.1.2021 1:00;1.78;0.0
4.1.2021 2:00;2.62;0.0
4.1.2021 3:00;2.19;0.0
4.1.2021 4:00;2.57;0.0
4.1.2021 5:00;2.23;0.0
4.1.2021 6:00;2.59;0.0
4.1.2021 7:00;0.0;2.16
4.1.2021 8:00;0.0;2.45
4.1.2021 9:00;0.0;1.71
4.1.2021 10:00;0.0;2.24
4.1.2021 11:00;0.0;2.6
4.1.2021 12:00;0.0;2.42
4.1.2021 13:00;0.0;2.97
4.1.2021 14:00;0.0;3.6
4.1.2021 15:00;0.0;2.69
4.1.2021 16:00;0.0;3.33
4.1.2021 17:00;0.0;3.24
4.1.2021 18:00;0.0;2.93
4.1.2021 19:00;0.0;3.15
4.1.2021 20:00;0.0;3.35
4.1.2021 21:00;0.0;2.97
4.1.2021 22:00;4.11;0.0
4.1.2021 23:00;4.11;0.0
5.1.2021 0:00;2.67;0.0
5.1.2021 1:00;2.83;0.0
5.1.2021 2:00;2.62;0.0
5.1.2021 3:00;2.96;0.0
5.1.2021 4:00;2.76;0.0
5.1.2021 5:00;3.01;0.0
5.1.2021 6:00;3.17;0.0
5.1.2021 7:00;0.0;3.33
5.1.2021 8:00;0.0;3.92
5.1.2021 9:00;0.0;1.85
5.1.2021 10:00;0.0;2.48
5.1.2021 11:00;0.0;2.29
5.1.2021 12:00;0.0;2.53
5.1.2021 13:00;0.0;4.12
5.1.2021 14:00;0.0;3.98
5.1.2021 15:00;0.0;3.47
5.1.2021 16:00;0.0;2.89
5.1.2021 17:00;0.0;3.25
5.1.2021 18:00;0.0;3.1
5.1.2021 19:00;0.0;3.6
5.1.2021 20:00;0.0;3.65
5.1.2021 21:00;0.0;3.73
5.1.2021 22:00;5.98;0.0
5.1.2021 23:00;4.48;0.0
6.1.2021 0:00;4.15;0.0
6.1.2021 1:00;2.07;0.0
6.1.2021 2:00;2.14;0.0
6.1.2021 3:00;2.85;0.0
6.1.2021 4:00;2.79;0.0
6.1.2021 5:00;3.05;0.0
6.1.2021 6:00;2.65;0.0
6.1.2021 7:00;0.0;3.2
6.1.2021 8:00;0.0;2.77
6.1.2021 9:00;0.0;3.65
6.1.2021 10:00;0.0;3.85
6.1.2021 11:00;0.0;3.15
6.1.2021 12:00;0.0;2.66
6.1.2021 13:00;0.0;2.86
6.1.2021 14:00;0.0;3.45
6.1.2021 15:00;0.0;2.16
6.1.2021 16:00;0.0;2.96
6.1.2021 17:00;0.0;2.53
6.1.2021 18:00;0.0;2.8
6.1.2021 19:00;0.0;3.37
6.1.2021 20:00;0.0;3.48
6.1.2021 21:00;0.0;4.29
6.1.2021 22:00;4.84;0.0
6.1.2021 23:00;4.83;0.0
7.1.2021 0:00;2.29;0.0
7.1.2021 1:00;2.06;0.0
7.1.2021 2:00;1.9;0.0
7.1.2021 3:00;2.16;0.0
